LEACode,LEAName,TotalTeachers,TeachersLeaving,PersonalReasons,PersonalPerct,InitiatedbyLEA,InitiatedPerct,BeyondControlofLEA,BeyondControlPerct,OtherReasons,OtherReasonsPerct
590,McDowell County Schools,427,30,12,40.0%,,0.0%,17.00,56.7%,1.00,3.3%
600,Charlotte-Mecklenburg Schools,"8,978",816,528,64.7%,42.00,5.1%,182.00,22.3%,64.00,7.8%
610,Mitchell County Schools,144,8,1,12.5%,1.00,12.5%,5.00,62.5%,1.00,12.5%
620,Montgomery County Schools,278,22,12,54.5%,1.00,4.5%,5.00,22.7%,4.00,18.2%
630,Moore County Schools,826,85,36,42.4%,11.00,12.9%,22.00,25.9%,16.00,18.8%
640,Nash-Rocky Mount Schools,956,92,36,39.1%,21.00,22.8%,22.00,23.9%,13.00,14.1%
650,New Hanover County Schools,"1,717",106,62,58.5%,1.00,0.9%,24.00,22.6%,19.00,17.9%
660,Northampton County Schools,137,19,10,52.6%,1.00,5.3%,6.00,31.6%,2.00,10.5%
670,Onslow County Schools,"1,590",162,103,63.6%,7.00,4.3%,37.00,22.8%,15.00,9.3%
680,Orange County Schools,560,35,14,40.0%,1.00,2.9%,17.00,48.6%,3.00,8.6%
681,Chapel Hill-Carrboro City Schools,910,86,44,51.2%,3.00,3.5%,24.00,27.9%,15.00,17.4%
690,Pamlico County Schools,104,10,3,30.0%,5.00,50.0%,2.00,20.0%,,0.0%
700,Elizabeth City-Pasquotank Public Schools,377,48,35,72.9%,4.00,8.3%,8.00,16.7%,1.00,2.1%
710,Pender County Schools,591,54,36,66.7%,3.00,5.6%,12.00,22.2%,3.00,5.6%
720,Perquimans County Schools,115,16,6,37.5%,1.00,6.3%,4.00,25.0%,5.00,31.3%
730,Person County Schools,299,20,9,45.0%,4.00,20.0%,5.00,25.0%,2.00,10.0%
740,Pitt County Schools,"1,600",139,63,45.3%,7.00,5.0%,44.00,31.7%,25.00,18.0%
750,Polk County Schools,184,13,7,53.8%,1.00,7.7%,2.00,15.4%,3.00,23.1%
760,Randolph County School System,"1,123",73,39,53.4%,3.00,4.1%,19.00,26.0%,12.00,16.4%
761,Asheboro City Schools,330,25,14,56.0%,1.00,4.0%,7.00,28.0%,3.00,12.0%
770,Richmond County Schools,485,51,15,29.4%,5.00,9.8%,16.00,31.4%,15.00,29.4%
780,Public Schools of Robeson County,"1,483",108,55,50.9%,18.00,16.7%,31.00,28.7%,4.00,3.7%
790,Rockingham County Schools,788,74,46,62.2%,2.00,2.7%,14.00,18.9%,12.00,16.2%
790,Rockingham County Schools,788,74,46,62.2%,2.00,2.7%,14.00,18.9%,12.00,16.2%
800,Rowan-Salisbury Schools,"1,295",105,47,44.8%,,0.0%,26.00,24.8%,32.00,30.5%
810,Rutherford County Schools,543,41,26,63.4%,,0.0%,12.00,29.3%,3.00,7.3%
820,Sampson County Schools,553,42,15,35.7%,,0.0%,25.00,59.5%,2.00,4.8%
821,Clinton City Schools,200,11,7,63.6%,1.00,9.1%,2.00,18.2%,1.00,9.1%
830,Scotland County Schools,428,41,12,29.3%,7.00,17.1%,14.00,34.1%,8.00,19.5%
840,Stanly County Schools,583,29,12,41.4%,1.00,3.4%,10.00,34.5%,6.00,20.7%
850,Stokes County Schools,437,28,8,28.6%,7.00,25.0%,9.00,32.1%,4.00,14.3%
860,Surry County Schools,538,25,8,32.0%,,0.0%,15.00,60.0%,2.00,8.0%
861,Elkin City Schools,89,4,2,50.0%,,0.0%,1.00,25.0%,1.00,25.0%
862,Mount Airy City Schools,111,16,3,18.8%,2.00,12.5%,8.00,50.0%,3.00,18.8%
870,Swain County Schools,141,9,5,55.6%,,0.0%,1.00,11.1%,3.00,33.3%
880,Transylvania County Schools,275,18,11,61.1%,,0.0%,4.00,22.2%,3.00,16.7%
890,Tyrrell County Schools,49,3,1,33.3%,2.00,66.7%,,0.0%,,0.0%
900,Union County Public Schools,"2,528",187,97,51.9%,4.00,2.1%,43.00,23.0%,43.00,23.0%
910,Vance County Schools,445,57,15,26.3%,6.00,10.5%,19.00,33.3%,17.00,29.8%
920,Wake County Schools,"10,275",750,456,60.8%,44.00,5.9%,134.00,17.9%,116.00,15.5%
930,Warren County Schools,154,34,18,52.9%,4.00,11.8%,10.00,29.4%,2.00,5.9%
940,Washington County Schools,108,12,,0.0%,7.00,58.3%,1.00,8.3%,4.00,33.3%
94Z,Northeast Regional School - Biotech/Agri,11,2,1,50.0%,,0.0%,,0.0%,1.00,50.0%
950,Watauga County Schools,358,29,15,51.7%,3.00,10.3%,8.00,27.6%,3.00,10.3%
960,Wayne County Public Schools,"1,234",92,42,45.7%,4.00,4.3%,34.00,37.0%,12.00,13.0%
970,Wilkes County Schools,625,40,21,52.5%,,0.0%,14.00,35.0%,5.00,12.5%
980,Wilson County Schools,734,68,33,48.5%,1.00,1.5%,18.00,26.5%,16.00,23.5%
990,Yadkin County Schools,386,22,19,86.4%,,0.0%,2.00,9.1%,1.00,4.5%
995,Yancey County Schools,174,8,2,25.0%,2.00,25.0%,4.00,50.0%,,0.0%
