,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
EOGScienceGr5&8_CACR_AIG,0.5,0.53,0.3,0.35,0.71,0.0,0.09,0.28,0.34
EOGReadingGr3-8_CACR_White,0.5,0.45,0.26,0.29,0.62,0.01,0.18,0.41,0.34
EVAAS Growth Status_NotMet,0.5,0.52,0.29,0.34,0.81,0.0,0.06,0.16,0.34
advance_dgr_pct,0.5,0.46,0.33,0.38,0.56,0.09,0.13,0.25,0.34
EOGReadingGr3-8_GLP_Hispanic,0.5,0.46,0.31,0.35,0.79,0.01,0.1,0.17,0.34
EOCSubjects_CACR_TwoorMoreRaces,0.5,0.52,0.34,0.4,0.77,0.0,0.0,0.22,0.34
Attrtion_Reason_BeyondControlPerct,0.5,0.5,0.31,0.36,0.89,0.03,0.06,0.1,0.34
EOGGr3_CACR_SWD,0.5,0.54,0.26,0.29,0.59,0.01,0.16,0.36,0.34
Science Score,0.5,0.52,0.26,0.29,0.49,0.01,0.18,0.43,0.34
Does Not Meet Expected Growth_TCHR_Standard 6_Pct,0.5,0.46,0.3,0.35,0.51,0.06,0.21,0.36,0.34
EOGGr4_CACR_All,0.5,0.26,0.26,0.26,0.49,0.02,0.31,0.65,0.34
Reading SPG Grade_D,0.5,0.47,0.3,0.32,0.69,0.0,0.11,0.31,0.34
Accomplished_TCHR_Standard 1_Pct,0.5,0.34,0.23,0.25,0.87,0.05,0.2,0.31,0.34
EOGReadingGr3-8_CACR_Black,0.5,0.49,0.29,0.33,0.74,0.02,0.05,0.26,0.34
EOG/EOCSubjects_CACR_White,0.5,0.49,0.36,0.44,0.3,0.05,0.17,0.34,0.33
Math I_Size,0.5,0.5,0.27,0.33,0.62,0.02,0.07,0.32,0.33
Attrtion_Reason_OtherReasons,0.5,0.65,0.26,0.29,0.8,0.01,0.01,0.12,0.33
EOGMathGr4_CACR_AIG,0.5,0.3,0.22,0.23,0.76,0.0,0.17,0.44,0.33
Add child tax credit Amt 75KLT100K,0.5,0.51,0.26,0.29,0.96,0.0,0.02,0.09,0.33
Accomplished_TCHR_Standard 5_Pct,0.5,0.38,0.2,0.21,0.95,0.03,0.13,0.24,0.33
EOGReadingGr5_GLP_Black,0.5,0.58,0.29,0.35,0.75,0.01,0.02,0.11,0.33
lea_tchyrs_4thru10_pct,0.5,0.41,0.26,0.29,0.98,0.03,0.08,0.12,0.33
st_advance_dgr_pct,0.37,0.4,0.25,0.21,1.0,0.0,0.09,0.31,0.33
Number of farm returns LT25K,0.5,0.51,0.21,0.28,0.64,0.05,0.12,0.22,0.32
EOGReadingGr3_CACR_Hispanic,0.5,0.51,0.31,0.38,0.61,0.01,0.06,0.19,0.32
st_nbpts_num,0.62,0.43,0.26,0.29,0.74,0.0,0.02,0.18,0.32
Accomplished_TCHR_Standard 3_Pct,0.5,0.42,0.29,0.33,0.69,0.03,0.1,0.23,0.32
EOCMathI_CACR_Hispanic,0.5,0.47,0.26,0.29,0.71,0.01,0.01,0.31,0.32
EOGScienceGr5&8_CACR_Hispanic,0.5,0.5,0.26,0.33,0.76,0.01,0.01,0.15,0.32
EOGGr4_CACR_White,0.5,0.46,0.26,0.29,0.29,0.01,0.25,0.5,0.32
Math SPG Grade_F,0.5,0.46,0.27,0.3,0.44,0.0,0.24,0.39,0.32
Alternative minimum tax Ct 75KLT100K,0.5,0.53,0.26,0.34,0.87,0.0,0.0,0.02,0.32
"calendar_type_txt_Regular School, Traditional Calendar plus Year-Round Calendar",0.5,0.46,0.36,0.54,0.66,0.0,0.0,0.02,0.32
Number of farm returns All,0.51,0.33,0.26,0.29,0.81,0.02,0.1,0.23,0.32
Distinguished_TCHR_Standard 5_Pct,0.5,0.42,0.26,0.29,0.94,0.02,0.04,0.08,0.32
EOGReadingGr3-8_CACR_SWD,0.5,0.38,0.26,0.29,0.53,0.01,0.21,0.41,0.32
lea_tchyrs_11plus_pct,0.5,0.38,0.07,0.12,0.98,0.05,0.19,0.27,0.32
EOGScienceGr5_CACR_SWD,0.5,0.28,0.26,0.29,0.69,0.0,0.14,0.38,0.32
Distinguished_TCHR_Standard 2_Pct,0.5,0.38,0.26,0.29,0.94,0.01,0.05,0.09,0.32
Distinguished_TCHR_Standard 4_Pct,0.5,0.43,0.26,0.29,0.86,0.02,0.06,0.12,0.32
EOCSubjects_CACR_Hispanic,0.5,0.34,0.26,0.29,0.72,0.01,0.02,0.32,0.31
EOGMathGr5_CACR_AIG,0.5,0.26,0.21,0.21,0.71,0.0,0.16,0.41,0.31
4-10 Years_LEA_Exp_Pct_Prin,0.5,0.37,0.13,0.18,1.0,0.04,0.08,0.17,0.31
EOG/EOCSubjects_CACR_EDS,0.5,0.41,0.26,0.32,0.01,0.06,0.25,0.64,0.31
EOGGr5_CACR_SWD,0.5,0.46,0.26,0.29,0.39,0.01,0.17,0.42,0.31
EOGMathGr3-8_GLP_LEP,0.5,0.49,0.29,0.34,0.61,0.01,0.05,0.16,0.31
EOGScienceGr5&8_CACR_SWD,0.5,0.48,0.26,0.29,0.6,0.01,0.12,0.23,0.31
Alternative minimum tax Amt 50KLT75K,0.5,0.54,0.31,0.3,0.69,0.0,0.04,0.07,0.31
lea_instruct_equip_exp_pct,0.76,0.33,0.23,0.26,0.8,0.02,0.0,0.04,0.31
EOGMathGr3_GLP_SWD,0.5,0.48,0.26,0.29,0.42,0.01,0.16,0.34,0.31
EOGMathGr4_CACR_Black,0.5,0.5,0.26,0.34,0.73,0.01,0.03,0.09,0.31
Partnership/S-corp net income (less loss) Amt LT25K,0.5,0.52,0.26,0.33,0.76,0.02,0.02,0.08,0.31
EOGGr3_GLP_SWD,0.5,0.24,0.26,0.29,0.59,0.01,0.2,0.4,0.31
category_cd_M,0.39,0.4,0.26,0.29,1.0,0.0,0.03,0.09,0.31
EOGScienceGr5&8_GLP_SWD,0.5,0.23,0.26,0.24,0.77,0.01,0.14,0.27,0.3
EOGReadingGr5_CACR_Asian,0.5,0.52,0.27,0.35,0.67,0.0,0.01,0.11,0.3
category_cd_T,0.49,0.39,0.26,0.28,0.9,0.0,0.02,0.07,0.3
Math SPG Grade_B,0.5,0.44,0.26,0.29,0.43,0.0,0.13,0.33,0.3
EOGMathGr3-8_CACR_White,0.5,0.39,0.26,0.29,0.27,0.01,0.23,0.46,0.3
category_cd_I,0.54,0.4,0.25,0.29,0.89,0.0,0.01,0.02,0.3
lea_avg_daily_attend_pct,0.5,0.53,0.26,0.29,0.55,0.09,0.01,0.15,0.3
Number of farm returns 100KLT200K,0.5,0.22,0.26,0.23,0.96,0.01,0.06,0.19,0.3
EOGMathGr3-8_CACR_Black,0.5,0.32,0.26,0.29,0.73,0.01,0.07,0.24,0.3
EOGMathGr3-8_CACR_Asian,0.5,0.49,0.3,0.35,0.57,0.01,0.03,0.15,0.3
Distinguished_TCHR_Standard 1_Pct,0.5,0.31,0.26,0.25,0.86,0.02,0.09,0.12,0.3
EOGGr3_CACR_White,0.5,0.35,0.26,0.29,0.3,0.01,0.23,0.48,0.3
EOG/EOCSubjects_GLP_Hispanic,0.5,0.3,0.21,0.18,0.79,0.04,0.13,0.25,0.3
EOCSubjects_CACR_SWD,0.5,0.35,0.26,0.29,0.84,0.01,0.01,0.11,0.3
EOCMathI_GLP_SWD,0.5,0.35,0.26,0.28,0.83,0.0,0.0,0.18,0.3
EOCMathI_GLP_LEP,0.5,0.44,0.26,0.29,0.68,0.0,0.01,0.23,0.3
Domestic production activities deduction Ct 50KLT75K,0.5,0.52,0.24,0.26,0.71,0.0,0.02,0.15,0.3
EOGMathGr3-8_CACR_AIG,0.5,0.43,0.27,0.3,0.26,0.01,0.13,0.54,0.3
Developing_TCHR_Standard 3_Pct,0.5,0.37,0.26,0.29,0.41,0.02,0.15,0.38,0.3
Crime_Rate_Murder_Rate,0.5,0.47,0.26,0.29,0.58,0.02,0.07,0.17,0.3
lea_sat_avg_score_num,0.5,0.33,0.24,0.2,0.37,0.1,0.28,0.41,0.3
EOGScienceGr5_CACR_TwoorMoreRaces,0.5,0.46,0.28,0.3,0.72,0.0,0.02,0.06,0.29
EOGMathGr4_GLP_SWD,0.5,0.46,0.26,0.29,0.31,0.01,0.15,0.34,0.29
SPG Grade_F,0.5,0.31,0.26,0.29,0.52,0.0,0.18,0.24,0.29
EOGReadingGr3_GLP_SWD,0.5,0.44,0.26,0.29,0.35,0.01,0.15,0.35,0.29
Reading SPG Grade_B,0.5,0.32,0.2,0.22,0.59,0.0,0.15,0.36,0.29
EOGReadingGr5_GLP_SWD,0.5,0.35,0.26,0.24,0.51,0.01,0.13,0.32,0.29
EOCSubjects_CACR_Asian,0.5,0.43,0.31,0.35,0.54,0.0,0.01,0.18,0.29
10+ Years_LEA_Exp_Pct_Prin,0.5,0.39,0.17,0.19,1.0,0.02,0.02,0.03,0.29
Number of farm returns 75KLT100K,0.5,0.25,0.19,0.2,0.82,0.01,0.09,0.23,0.29
Self-employment retirement plans Ct LT25K,0.5,0.45,0.26,0.29,0.7,0.0,0.01,0.12,0.29
Math I Score,0.5,0.22,0.24,0.22,0.82,0.01,0.02,0.3,0.29
lea_short_susp_per_c_num,0.5,0.4,0.26,0.29,0.09,0.09,0.17,0.53,0.29
Math SPG Grade_C,0.5,0.47,0.26,0.29,0.43,0.0,0.12,0.23,0.29
EOGReadingGr3_CACR_SWD,0.5,0.4,0.3,0.36,0.35,0.01,0.12,0.28,0.29
EOGReadingGr4_CACR_SWD,0.5,0.45,0.26,0.29,0.4,0.0,0.14,0.26,0.29
Number of farm returns 25KLT50K,0.5,0.45,0.26,0.29,0.65,0.01,0.06,0.1,0.29
EOGGr4_CACR_EDS,0.5,0.4,0.26,0.29,0.01,0.02,0.26,0.55,0.29
EOGGr5_CACR_Hispanic,0.5,0.46,0.26,0.3,0.39,0.01,0.1,0.26,0.29
EOGGr5_CACR_AIG,0.5,0.35,0.23,0.26,0.36,0.01,0.17,0.45,0.29
EOGMathGr3_CACR_SWD,0.5,0.34,0.26,0.29,0.41,0.01,0.15,0.36,0.29
EOGGr5_GLP_LEP,0.5,0.49,0.3,0.35,0.57,0.01,0.01,0.08,0.29
EOGGr4_GLP_SWD,0.5,0.42,0.26,0.29,0.24,0.0,0.19,0.42,0.29
EOGScienceGr5&8_CACR_TwoorMoreRaces,0.5,0.36,0.26,0.28,0.72,0.0,0.01,0.12,0.28
Number of farm returns 50KLT75K,0.5,0.34,0.24,0.25,0.63,0.01,0.07,0.16,0.28
EOGMathGr3-8_CACR_Hispanic,0.5,0.38,0.26,0.29,0.38,0.01,0.13,0.32,0.28
EOGReadingGr4_CACR_Black,0.5,0.32,0.26,0.24,0.73,0.01,0.03,0.12,0.28
EOGReadingGr4_GLP_SWD,0.5,0.33,0.26,0.28,0.4,0.01,0.15,0.31,0.28
Crime_Rate_Robbery_Rate,0.5,0.27,0.28,0.29,0.66,0.01,0.06,0.15,0.28
EOGReadingGr5_CACR_Black,0.5,0.29,0.26,0.29,0.75,0.01,0.03,0.14,0.28
st_tchyrs_0thru3_pct,0.16,0.4,0.26,0.29,0.99,0.0,0.0,0.17,0.28
EOGGr4_CACR_SWD,0.5,0.37,0.24,0.28,0.24,0.01,0.19,0.42,0.28
EOGReadingGr5_CACR_EDS,0.5,0.4,0.26,0.29,0.02,0.01,0.23,0.51,0.28
EOGSubjects_CACR_LEP,0.5,0.29,0.18,0.1,0.83,0.01,0.09,0.2,0.28
school_type_txt_Regular School,0.53,0.41,0.26,0.29,0.64,0.0,0.02,0.05,0.28
EOCMathI_CACR_LEP,0.5,0.34,0.26,0.28,0.68,0.0,0.0,0.16,0.28
EOGReadingGr3-8_GLP_LEP,0.5,0.36,0.26,0.26,0.61,0.01,0.07,0.17,0.28
SPG Grade_B,0.5,0.35,0.26,0.3,0.47,0.0,0.1,0.24,0.28
EOCMathI_CACR_Black,0.5,0.42,0.26,0.29,0.15,0.01,0.07,0.52,0.28
st_long_susp_per_c_num,0.0,0.45,0.26,0.29,1.0,0.0,0.03,0.18,0.28
EOGMathGr4_CACR_SWD,0.5,0.36,0.24,0.26,0.31,0.0,0.15,0.38,0.28
EOGGr5_CACR_Black,0.5,0.45,0.26,0.29,0.47,0.01,0.06,0.21,0.28
EOGGr4_CACR_Hispanic,0.5,0.46,0.26,0.31,0.38,0.01,0.09,0.21,0.28
lea_ap_pct_3_or_above,0.5,0.25,0.07,0.09,0.92,0.03,0.2,0.21,0.28
EOGScienceGr5&8_CACR_EDS,0.5,0.28,0.25,0.25,0.48,0.02,0.16,0.32,0.28
lea_stud_internet_comp_num,0.5,0.33,0.15,0.19,0.78,0.05,0.09,0.17,0.28
Domestic production activities deduction Amt 50KLT75K,0.5,0.35,0.26,0.29,0.7,0.01,0.0,0.13,0.28
Alternative minimum tax Amt LT25K,0.5,0.54,0.26,0.31,0.58,0.0,0.0,0.04,0.28
lea_advance_dgr_pct,0.5,0.32,0.15,0.11,0.56,0.05,0.21,0.31,0.28
Proficient_TCHR_Standard 3_Pct,0.5,0.34,0.24,0.27,0.42,0.04,0.13,0.23,0.27
EOGMathGr5_CACR_SWD,0.5,0.35,0.26,0.27,0.31,0.01,0.14,0.31,0.27
EOGMathGr3_CACR_Hispanic,0.5,0.33,0.26,0.24,0.61,0.01,0.07,0.17,0.27
nbpts_num,0.5,0.39,0.23,0.27,0.12,0.03,0.13,0.51,0.27
EOGMathGr5_CACR_Asian,0.5,0.32,0.26,0.28,0.67,0.0,0.02,0.1,0.27
Meets Expected Growth_TCHR_Standard 6_Pct,0.5,0.45,0.27,0.31,0.47,0.04,0.02,0.13,0.27
calendar_type_txt_Hospital School,0.5,0.44,0.26,0.39,0.51,0.0,0.0,0.04,0.27
EOCSubjects_CACR_AmericanIndian,0.5,0.46,0.26,0.29,0.53,0.0,0.01,0.12,0.27
esea_status_P,0.5,0.43,0.33,0.35,0.26,0.0,0.12,0.19,0.27
EOCSubjects_GLP_LEP,0.5,0.45,0.26,0.29,0.43,0.0,0.01,0.23,0.27
EOG/EOCSubjects_CACR_TwoorMoreRaces,0.5,0.43,0.26,0.3,0.32,0.04,0.11,0.21,0.27
LEACode,0.5,0.56,0.26,0.29,0.45,0.01,0.0,0.05,0.26
EOGScienceGr5&8_CACR_White,0.5,0.39,0.26,0.29,0.19,0.02,0.15,0.29,0.26
Domestic production activities deduction Amt 100KLT200K,0.5,0.43,0.21,0.25,0.5,0.02,0.05,0.16,0.26
Distinguished_TCHR_Standard 3_Pct,0.5,0.42,0.26,0.29,0.48,0.02,0.04,0.07,0.26
Number of farm returns GE200K,0.5,0.35,0.24,0.26,0.65,0.0,0.0,0.07,0.26
Add Medicare tax Amt 100KLT200K,0.5,0.18,0.17,0.18,0.96,0.0,0.0,0.06,0.26
student_num,0.5,0.38,0.25,0.25,0.21,0.1,0.0,0.41,0.26
lea_crime_per_c_num,0.5,0.38,0.26,0.29,0.16,0.04,0.06,0.37,0.26
stud_internet_comp_num,0.5,0.42,0.26,0.29,0.15,0.11,0.1,0.29,0.26
Crime_Rate_Index_Rate,0.5,0.31,0.26,0.29,0.55,0.01,0.03,0.11,0.26
Domestic production activities deduction Amt 25KLT50K,0.5,0.22,0.22,0.14,0.92,0.0,0.01,0.07,0.26
Crime_Rate_Rape_Rate,0.5,0.38,0.32,0.32,0.46,0.03,0.02,0.07,0.26
EOGSubjects_CACR_AmericanIndian,0.5,0.46,0.26,0.29,0.54,0.0,0.0,0.05,0.26
"calendar_type_txt_Regular School, Year-Round Calendar",0.48,0.39,0.26,0.28,0.63,0.0,0.01,0.04,0.26
EOGScienceGr5&8_CACR_LEP,0.5,0.44,0.26,0.29,0.46,0.0,0.0,0.09,0.26
EOGReadingGr5_CACR_SWD,0.5,0.38,0.26,0.29,0.24,0.01,0.11,0.29,0.26
EOGScienceGr5&8_CACR_Black,0.5,0.46,0.26,0.29,0.44,0.01,0.0,0.14,0.26
EOGReadingGr3-8_CACR_TwoorMoreRaces,0.5,0.3,0.22,0.21,0.59,0.01,0.09,0.19,0.26
SPG Grade_D,0.5,0.24,0.25,0.27,0.52,0.0,0.09,0.25,0.26
EOGMathGr5_GLP_SWD,0.5,0.42,0.26,0.29,0.1,0.01,0.15,0.35,0.26
avg_daily_attend_pct,0.5,0.3,0.0,0.0,0.75,0.1,0.13,0.27,0.26
EOGMathGr5_GLP_LEP,0.5,0.5,0.26,0.31,0.39,0.0,0.0,0.1,0.26
"calendar_type_txt_Regular School, Traditional Calendar",0.46,0.41,0.26,0.29,0.64,0.0,0.0,0.03,0.26
EOGMathGr3_CACR_AmericanIndian,0.5,0.48,0.26,0.3,0.49,0.0,0.0,0.02,0.26
Domestic production activities deduction Ct LT25K,0.5,0.33,0.26,0.29,0.58,0.0,0.02,0.14,0.26
Domestic production activities deduction Amt 75KLT100K,0.5,0.34,0.26,0.28,0.49,0.01,0.01,0.22,0.26
crime_per_c_num,0.5,0.42,0.26,0.29,0.16,0.03,0.08,0.38,0.26
Math SPG Grade_D,0.5,0.46,0.26,0.29,0.44,0.0,0.01,0.07,0.25
Alternative minimum tax Amt 75KLT100K,0.5,0.33,0.23,0.22,0.67,0.0,0.0,0.02,0.25
EOG/EOCSubjects_CACR_AmericanIndian,0.5,0.31,0.24,0.26,0.54,0.01,0.0,0.11,0.25
Attrtion_Reason_BeyondControlofLEA,0.5,0.0,0.26,0.29,0.89,0.01,0.0,0.06,0.25
Exceeds Expected Growth_TCHR_Standard 6_Pct,0.5,0.44,0.26,0.32,0.34,0.02,0.04,0.11,0.25
Attrtion_Reason_InitiatedPerct,0.5,0.37,0.26,0.29,0.46,0.01,0.01,0.07,0.25
Attrtion_Reason_OtherReasonsPerct,0.5,0.44,0.33,0.37,0.23,0.02,0.0,0.08,0.25
EOCSubjects_CACR_LEP,0.5,0.36,0.26,0.29,0.41,0.0,0.0,0.14,0.25
EOGSubjects_CACR_Hispanic,0.5,0.4,0.26,0.29,0.05,0.01,0.16,0.3,0.25
EOGSubjects_CACR_Black,0.5,0.38,0.26,0.29,0.11,0.01,0.09,0.36,0.25
SciGr5&8_pTarget_PctMet,0.5,0.41,0.26,0.29,0.11,0.0,0.11,0.3,0.25
EOCMathI_CACR_TwoorMoreRaces,0.5,0.29,0.14,0.14,0.78,0.0,0.0,0.15,0.25
EOGGr5_CACR_LEP,0.5,0.34,0.26,0.29,0.56,0.0,0.01,0.05,0.25
EOGScienceGr5_CACR_Hispanic,0.5,0.17,0.19,0.1,0.85,0.0,0.05,0.13,0.25
EOGScienceGr5_CACR_Black,0.5,0.34,0.26,0.29,0.45,0.0,0.03,0.11,0.25
Reading SPG Grade_C,0.5,0.37,0.25,0.26,0.18,0.0,0.15,0.31,0.25
lea_long_susp_per_c_num,0.5,0.36,0.26,0.22,0.34,0.03,0.0,0.18,0.24
pct_GCE_ALL,0.5,0.35,0.2,0.18,0.34,0.02,0.06,0.3,0.24
SPG Grade_C,0.5,0.27,0.25,0.28,0.52,0.0,0.04,0.09,0.24
lea_avg_student_num,0.5,0.34,0.26,0.25,0.32,0.03,0.0,0.2,0.24
Residential energy tax credit Amt LT25K,0.5,0.38,0.25,0.27,0.46,0.01,0.0,0.04,0.24
lea_ap_participation_pct,0.5,0.42,0.26,0.29,0.28,0.01,0.02,0.11,0.24
lea_salary,0.5,0.39,0.29,0.33,0.22,0.03,0.04,0.1,0.24
lea_sat_participation_pct,0.5,0.42,0.31,0.35,0.22,0.02,0.01,0.12,0.24
unit_code,0.5,0.25,0.25,0.28,0.48,0.07,0.01,0.06,0.24
Not Demostrated_TCHR_Standard 4_Pct,0.5,0.4,0.26,0.29,0.4,0.0,0.0,0.08,0.24
EOGGr5_CACR_Asian,0.5,0.36,0.24,0.25,0.36,0.0,0.04,0.15,0.24
EOGReadingGr3-8_CACR_Hispanic,0.5,0.39,0.26,0.29,0.2,0.01,0.09,0.19,0.24
EOGGr3_CACR_Asian,0.5,0.35,0.25,0.26,0.37,0.0,0.04,0.12,0.24
EOGReadingGr3_CACR_LEP,0.5,0.44,0.26,0.3,0.28,0.0,0.03,0.08,0.24
EOGMathGr5_CACR_Black,0.5,0.36,0.26,0.26,0.38,0.01,0.02,0.12,0.24
EOGGr4_CACR_Asian,0.5,0.43,0.27,0.31,0.29,0.0,0.03,0.13,0.24
EOGGr4_CACR_Black,0.5,0.43,0.26,0.29,0.21,0.01,0.05,0.15,0.24
EOGGr4_CACR_LEP,0.5,0.44,0.26,0.29,0.33,0.0,0.02,0.06,0.24
EOGGr4_CACR_TwoorMoreRaces,0.5,0.44,0.26,0.31,0.24,0.0,0.05,0.11,0.24
EOG/EOCSubjects_CACR_Asian,0.5,0.45,0.26,0.29,0.22,0.01,0.03,0.15,0.24
EOCMathI_CACR_AIG,0.5,0.36,0.23,0.26,0.26,0.01,0.02,0.26,0.24
EOGReadingGr5_CACR_TwoorMoreRaces,0.5,0.46,0.27,0.33,0.29,0.0,0.02,0.06,0.24
EOGSubjects_GLP_LEP,0.5,0.37,0.26,0.29,0.18,0.01,0.09,0.21,0.24
Alternative minimum tax Ct LT25K,0.5,0.29,0.26,0.29,0.5,0.0,0.0,0.04,0.24
Attrtion_Reason_PersonalPerct,0.5,0.32,0.16,0.17,0.66,0.03,0.02,0.07,0.24
EVAAS Growth Status_Met,0.5,0.44,0.27,0.3,0.35,0.0,0.0,0.03,0.24
Crime_Rate_MVT_Rate,0.5,0.17,0.14,0.08,0.91,0.02,0.0,0.07,0.24
EOGMathGr3_CACR_TwoorMoreRaces,0.5,0.44,0.26,0.29,0.36,0.0,0.02,0.07,0.24
Attrtion_Reason_RemainedinEducationPerct,0.5,0.3,0.25,0.26,0.55,0.03,0.0,0.05,0.24
